,conjugation_type,business_sentence,common_sentence
237,もらう,さて、今日は当社の機密保持規則についてお話させて「いただき」ます。,さて、今日は当社の機密保持規則についてお話させて「もらい」ます。
238,います,もしもし、M社ニューヨークの田中ですが、営業の村野さんは「いらっしゃいます」か。,もしもし、M社ニューヨークの田中ですが、営業の村野さんは「います」か。
239,てください,はい、少々「お待ちください」。,はい、少々「待ってください」。
240,います,あ、田中さん、お世話になって「おります」。,あ、田中さん、お世話になって「います」。
241,もらう,じゃ、送り先の住所などをあとでメール「いただけます」か。,じゃ、送り先の住所などをあとでメール「もらえます」か。
242,もらう,発注書だけ送って「いただけます」か？,発注書だけ送って「もらえます」か？
243,もらう,念のために身分証明になるものをお持ち「いただけます」か？,念のために身分証明になるものをお持ち「もらえます」か？
244,もらう,その後で、どちらの業者がよいと思うか、お話聞いて「いただけます」か？,その後で、どちらの業者がよいと思うか、お話聞いて「もらえます」か？
245,もらう,では、さっそくですが、実験室に入る際の服装についてお話させて「いただき」ます。,では、さっそくですが、実験室に入る際の服装についてお話させて「もらい」ます。
246,もらう,昨日「いただいた」D社からの請求書についてなのですが。,昨日「もらった」D社からの請求書についてなのですが。
247,てください,今、発注書番号を探しますので、ちょっと「お待ちください」。,今、発注書番号を探しますので、ちょっと「待ってください」。
248,てください,はい、「お任せください」。,はい、「任せてください」。
249,います,あ、お世話になって「おります」。,あ、お世話になって「います」。
250,います,マーケティングの有田さんは「いらっしゃいます」か？,マーケティングの有田さんは「います」か？
251,てください,はい、少々「お待ちください」。,はい、少々「待ってください」。
252,もらう,資料を見せて「いただいた」んですが、なかなか面白いですね。,資料を見せて「もらった」んですが、なかなか面白いですね。
253,もらう,デバイス本体もお持ち「いただけます」か？,デバイス本体もお持ち「もらえます」か？
254,います,はい、お待ちして「おります」。,はい、お待ちして「います」。
255,もらう,明日の会議用のプレゼンを見て「いただき」たいのですが。,明日の会議用のプレゼンを見て「もらい」たいのですが。
256,います,商品開発からは誰か「いらっしゃいます」か？,商品開発からは誰か「います」か？
257,言う,数字が苦手だと「おっしゃる」人もいるかも知れないですが。,数字が苦手だと「言う」人もいるかも知れないですが。
258,てください,システムについてお気づきの点、ご提案がありましたら、人事津村まで「ご連絡ください」。,システムについてお気づきの点、ご提案がありましたら、人事津村まで「連絡してください」。
259,もらう,人事部研修にご参加「いただき」ありがとうございます。,人事部研修にご参加「もらい」ありがとうございます。
260,います,昨年末より社内環境改善プロジェクトが進行中なのはご存じかと思いますが、今月も全社で様々な取組みを行って「おります」。,昨年末より社内環境改善プロジェクトが進行中なのはご存じかと思いますが、今月も全社で様々な取組みを行って「います」。
261,てください,こちらのグラフを「ご覧ください」。,こちらのグラフを「見てください」。
262,てください,５ページを「ご覧ください」。,５ページを「見てください」。
263,てください,佐伯部長、技術部を非難する為に挙げた訳ではないので、「ご了承ください」。,佐伯部長、技術部を非難する為に挙げた訳ではないので、「了承してください」。
264,もらう,全ての朝会議は15分以内として「いただき」、必要に応じて長めの会議を別途設ける等、適宜対応してください。,全ての朝会議は15分以内として「もらい」、必要に応じて長めの会議を別途設ける等、適宜対応してください。
265,もらう,勝手ながら、より生き生きとしたペルソナにする為、海棠部長をリサーチさせて「いただき」ました。,勝手ながら、より生き生きとしたペルソナにする為、海棠部長をリサーチさせて「もらい」ました。
266,もらう,んー、もう少し具体的に説明して「いただけます」か？,んー、もう少し具体的に説明して「もらえます」か？
267,もらう,皆さんにもいくつかのペルソナを考えて「いただき」ますので、その場で学べますよ。,皆さんにもいくつかのペルソナを考えて「もらい」ますので、その場で学べますよ。
268,もらう,そうですね、ではちょっと皆さんに目を閉じて「いただき」ましょう。,そうですね、ではちょっと皆さんに目を閉じて「もらい」ましょう。
269,てください,大野さんから時計回りで「お答えください」。,大野さんから時計回りで「答えてください」。
270,てください,モニターを「ご覧ください」。,モニターを「見てください」。
271,します,では、この勉強会にご参加いただく皆さんをご紹介「いたします」。,では、この勉強会にご参加いただく皆さんをご紹介「します」。
272,てください,こちらもお時間の都合で、私がお名前と所属を挙げさせていただくのみとします、「ご了承ください」。,こちらもお時間の都合で、私がお名前と所属を挙げさせていただくのみとします、「了承してください」。
273,もらう,ですが、後日懇親会の場を設けさせて「いただき」ます。,ですが、後日懇親会の場を設けさせて「もらい」ます。
274,します,こちらに関しましては今週中に皆様にご連絡「いたします」。,こちらに関しましては今週中に皆様にご連絡「します」。
275,てください,海棠部長もご都合がよろしければ、是非「ご参加ください」。,海棠部長もご都合がよろしければ、是非「参加してください」。
276,もらう,では、恐れ入りますが呼ばれた方はご起立「いただけます」でしょうか。,では、恐れ入りますが呼ばれた方はご起立「もらえます」でしょうか。
277,します,皆さん、どうぞよろしくお願い「いたします」。,皆さん、どうぞよろしくお願い「します」。
278,います,まだ少々お時間がございますので、ご質問のある方「いらっしゃいます」か？,まだ少々お時間がございますので、ご質問のある方「います」か？
279,います,先程申し上げました通り、CX企画課はマーケティング部門に属して「おります」。,先程申し上げました通り、CX企画課はマーケティング部門に属して「います」。
280,もらう,しかし、他部門とも積極的に連携していく課として捉えて「いただき」たい。,しかし、他部門とも積極的に連携していく課として捉えて「もらい」たい。
281,います,このワークショップではそういった壁を越えて、情報交換、相互協力をしていきたいと考えて「おります」。,このワークショップではそういった壁を越えて、情報交換、相互協力をしていきたいと考えて「います」。
282,てください,ご提案のある方はご遠慮なくマクマランまで「ご連絡ください」。,ご提案のある方はご遠慮なくマクマランまで「連絡してください」。
283,います,他にご質問がある方「いらっしゃいます」か？,他にご質問がある方「います」か？
284,もらう,第一回隔月合同勉強会にご参加「いただき」ありがとうございます。,第一回隔月合同勉強会にご参加「もらい」ありがとうございます。
285,もらう,この会の進行役を務めさせて「いただき」ます、マクマランです。,この会の進行役を務めさせて「もらい」ます、マクマランです。
286,います,本日は関連各部門からお一人ずつお集まりいただいて「おります」。,本日は関連各部門からお一人ずつお集まりいただいて「います」。
287,もらう,暫定的ではございますが、このメンバーで隔月こちらに集まって「いただき」ます。,暫定的ではございますが、このメンバーで隔月こちらに集まって「もらい」ます。
288,もらう,皆さまにはこのワークショップを通して、カスタマーエクスペリエンスについて理解を深めて「いただき」ます。,皆さまにはこのワークショップを通して、カスタマーエクスペリエンスについて理解を深めて「もらい」ます。
289,します,皆さま、どうぞよろしくお願い「いたします」。,皆さま、どうぞよろしくお願い「します」。
290,います,はい、大野さん、遅れる旨伺って「おります」。,はい、大野さん、遅れる旨伺って「います」。
291,てください,どうぞ「お入りください」。,どうぞ「入ってください」。
292,します,すみません、前を失礼「いたします」。,すみません、前を失礼「します」。
293,します,では再開「いたします」。,では再開「します」。
294,もらう,まず、簡単に私共CX企画課の説明をさせて「いただき」ます。,まず、簡単に私共CX企画課の説明をさせて「もらい」ます。
295,てください,そのため、我々は全く新しい課であると「お考えください」。,そのため、我々は全く新しい課であると「考えてください」。
296,もらう,ここからは時間の関係上、詳細を割愛させて「いただき」ます。,ここからは時間の関係上、詳細を割愛させて「もらい」ます。
297,います,只今ご説明しました概略の詳細内容については、皆さまに届いて「おります」資料に記載されて「おります」。,只今ご説明しました概略の詳細内容については、皆さまに届いて「います」資料に記載されて「います」。
298,てください,ご興味のある方はそちらのPDF資料を「ご参照ください」。,ご興味のある方はそちらのPDF資料を「参照してください」。
299,います,先方へはその旨お伝えして「おります」。,先方へはその旨お伝えして「います」。
300,もらう,先日ウチのシステムを入れて「いただいた」お店ですね。,先日ウチのシステムを入れて「もらった」お店ですね。
301,もらう,はい、室長のメールで先様の情報を「いただいた」んですが、制約が多くてお店を探すのに随分時間がかかっています。,はい、室長のメールで先様の情報を「もらった」んですが、制約が多くてお店を探すのに随分時間がかかっています。
302,します,申し訳ありません、平良室長、今後その様に「いたします」。,申し訳ありません、平良室長、今後その様に「します」。
303,します,う、皆さん、これからもご教示お願い「いたします」...,う、皆さん、これからもご教示お願い「します」...
304,もらう,えっと、ご一緒させて「いただき」ます！,えっと、ご一緒させて「もらい」ます！
305,もらう,研修で津村課長に教えて「いただき」ましたっ！,研修で津村課長に教えて「もらい」ましたっ！
306,します,ご指示のとおり「いたします」！,ご指示のとおり「します」！
307,と申します,C社の山本「と申します」が、保険代の返金についてお伺いしたのいのですが？,C社の山本「です」が、保険代の返金についてお伺いしたのいのですが？
308,います,ではご契約番号はお持ちで「いらっしゃいます」か？,ではご契約番号はお持ちで「います」か？
309,います,xxx-xxx-xxxx、山本で経理を担当して「おります」。,xxx-xxx-xxxx、山本で経理を担当して「います」。
310,します,お調べ「いたします」ので、少々お待ちください。,お調べ「します」ので、少々お待ちください。
311,てください,お調べいたしますので、少々「お待ちください」。,お調べいたしますので、少々「待ってください」。
312,もらう,10月に自己監査の依頼をメールで送信させて「いただき」ました。,10月に自己監査の依頼をメールで送信させて「もらい」ました。
313,います,いつ頃送られたか覚えて「いらっしゃいます」か？,いつ頃送られたか覚えて「います」か？
314,もらう,よろしければ、自己監査の際に提出した書類を転送して「いただけます」か？,よろしければ、自己監査の際に提出した書類を転送して「もらえます」か？
315,います,担当の者が「おります」ので、本日中に確認してご連絡差し上げられると思います。,担当の者が「います」ので、本日中に確認してご連絡差し上げられると思います。
316,します,確認次第こちらよりご連絡「いたします」ので、お待ちください。,確認次第こちらよりご連絡「します」ので、お待ちください。
317,てください,確認次第こちらよりご連絡いたしますので、「お待ちください」。,確認次第こちらよりご連絡いたしますので、「待ってください」。
318,もらう,では、今年の課題についてお話し「いただけます」か？,では、今年の課題についてお話し「もらえます」か？
319,します,今年度も、よろしくお願い「いたします」。,今年度も、よろしくお願い「します」。
320,します,こちらこそ、よろしくお願い「いたします」。,こちらこそ、よろしくお願い「します」。
321,もらう,膝パットでも出て「いただいた」フットボール選手に出演が交渉済みで、後は内容と場所を決定するだけだ。,膝パットでも出て「もらった」フットボール選手に出演が交渉済みで、後は内容と場所を決定するだけだ。
322,もらう,総括していただく吉川さんより、詳細について報告して「いただき」ます。,総括していただく吉川さんより、詳細について報告して「もらい」ます。
323,います,今回は１０周年ということもありまして、関東地区だけではなく、北海道から沖縄まで全国のメンバーさんにお声かけして「おります」。,今回は１０周年ということもありまして、関東地区だけではなく、北海道から沖縄まで全国のメンバーさんにお声かけして「います」。
324,います,今の所参加が確定しているのは約１５０名ですが、未返信の方も「おります」ので、約１８０名を想定して準備を進めていきます。,今の所参加が確定しているのは約１５０名ですが、未返信の方も「います」ので、約１８０名を想定して準備を進めていきます。
325,もらう,まず新たな企画を考えてくれた内田さん、内容を説明して「いただけます」か？,まず新たな企画を考えてくれた内田さん、内容を説明して「もらえます」か？
326,います,お土産は毎年陶器が多かったのですが、今回は飛行機に乗って来られる方も「いらっしゃいます」ので、軽くて壊れにくく、あまり大きくないものを何か考えています。,お土産は毎年陶器が多かったのですが、今回は飛行機に乗って来られる方も「います」ので、軽くて壊れにくく、あまり大きくないものを何か考えています。
327,います,何か他に意見がある方「いらっしゃいます」か？,何か他に意見がある方「います」か？
328,どう,タブレットは「いかが」ですか？,タブレットは「どう」ですか？
329,どう,「いかが」ですか？,「どう」ですか？
330,します,ではタブレット百八十個分の見積もりを後ほど提出「いたします」。,ではタブレット百八十個分の見積もりを後ほど提出「します」。
331,します,では主任からお願い「致します」。,では主任からお願い「します」。
332,します,分からない事がたくさんあると思いますので、声掛けを積極的に行うようにお願い「致します」。,分からない事がたくさんあると思いますので、声掛けを積極的に行うようにお願い「します」。
333,います,何か質問がある方は「いらっしゃいます」か？,何か質問がある方は「います」か？
334,もらう,筧さん、朝礼の後に一度確認のため、見に行って来て「いただけます」か。,筧さん、朝礼の後に一度確認のため、見に行って来て「もらえます」か。
335,もらう,それから、会議の資料は全２０部の予定でしたが、追加でもう３部ほど用意しておいて「いただけます」か？,それから、会議の資料は全２０部の予定でしたが、追加でもう３部ほど用意しておいて「もらえます」か？
336,します,帰宅の際は東口の非常階段を利用するようにお願い「致します」。,帰宅の際は東口の非常階段を利用するようにお願い「します」。
337,います,他に何か質問がある方は「いらっしゃいます」か？,他に何か質問がある方は「います」か？
338,います,お母様はどちらに住んで「いらっしゃいます」か？,お母様はどちらに住んで「います」か？
339,どう,引き継ぎの状況は「いかが」ですか？,引き継ぎの状況は「どう」ですか？
340,てください,書類はメールにて本日中に送付しておきますので「ご確認ください」。,書類はメールにて本日中に送付しておきますので「確認してください」。
341,もらう,全て目を通して「いただいた」ら、署名して明日中に返信いただけると助かります。,全て目を通して「もらった」ら、署名して明日中に返信いただけると助かります。
342,します,失礼「いたします」。,失礼「します」。
343,もらう,田中さんのチームから３名、佐藤さんのチームから３名ずつ選んで「いただき」たいのですが。,田中さんのチームから３名、佐藤さんのチームから３名ずつ選んで「もらい」たいのですが。
344,もらう,佐藤さん、電話マニュアルの作成をこのあと少し手伝って「いただけます」か？,佐藤さん、電話マニュアルの作成をこのあと少し手伝って「もらえます」か？
345,います,A社は前回の受注量を2か月に1回納入してほしいと言って「おります」。,A社は前回の受注量を2か月に1回納入してほしいと言って「います」。
346,と申します,株式会社Cの田中「と申します」。,株式会社Cの田中「です」。
347,もらう,本日は佐藤部長と15時から打合せの予定で訪問させて「いただき」ました。,本日は佐藤部長と15時から打合せの予定で訪問させて「もらい」ました。
348,てください,佐藤はすぐに参りますので、こちらのお部屋で少々「お待ちください」。,佐藤はすぐに参りますので、こちらのお部屋で少々「待ってください」。
349,もらう,前回と同じ量を2か月に1度、年に6回納入して「いただき」たいです。,前回と同じ量を2か月に1度、年に6回納入して「もらい」たいです。
350,もらう,明日以降に改めてスケジュールの詳細を連絡させて「いただき」ますね。,明日以降に改めてスケジュールの詳細を連絡させて「もらい」ますね。
351,と申します,A株式会社の佐藤「と申します」が、田中さんはいらっしゃいますか？,A株式会社の佐藤「です」が、田中さんはいらっしゃいますか？
352,います,A株式会社の佐藤と申しますが、田中さんは「いらっしゃいます」か？,A株式会社の佐藤と申しますが、田中さんは「います」か？
353,てください,田中ですね、少々「お待ちください」。,田中ですね、少々「待ってください」。
354,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
355,います,佐藤部長、いつもお世話になって「おります」。,佐藤部長、いつもお世話になって「います」。
356,もらう,実は先日ご提出「いただいた」見積の件で、近々弊社に来ていただくことは可能でしょうか？,実は先日ご提出「もらった」見積の件で、近々弊社に来ていただくことは可能でしょうか？
357,どう,一番直近ですと、明日の14時以降か、明後日の午前中でしたら大丈夫ですが、ご都合は「いかが」ですか？,一番直近ですと、明日の14時以降か、明後日の午前中でしたら大丈夫ですが、ご都合は「どう」ですか？
358,もらう,では、明日の15時に訪問させて「いただき」ますね。,では、明日の15時に訪問させて「もらい」ますね。
359,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
360,と申します,A株式会社の佐藤「と申します」が、田中さんはいらっしゃいますか？,A株式会社の佐藤「です」が、田中さんはいらっしゃいますか？
361,います,A株式会社の佐藤と申しますが、田中さんは「いらっしゃいます」か？,A株式会社の佐藤と申しますが、田中さんは「います」か？
362,てください,田中ですね、少々「お待ちください」。,田中ですね、少々「待ってください」。
363,います,佐藤部長、いつもお世話になって「おります」。,佐藤部長、いつもお世話になって「います」。
364,もらう,納入「いただいた」製品は問題なく、全て順調です。,納入「もらった」製品は問題なく、全て順調です。
365,もらう,早速ですが、新しい見積をお願いしたく、連絡させて「いただき」ました。,早速ですが、新しい見積をお願いしたく、連絡させて「もらい」ました。
366,もらう,詳細はすぐにメールしますので、ご確認「いただけます」か？,詳細はすぐにメールしますので、ご確認「もらえます」か？
367,もらう,確認次第、すぐに対応させて「いただき」ます。,確認次第、すぐに対応させて「もらい」ます。
368,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
369,と申します,A株式会社の佐藤「と申します」が、田中さんはいらっしゃいますか？,A株式会社の佐藤「です」が、田中さんはいらっしゃいますか？
370,います,A株式会社の佐藤と申しますが、田中さんは「いらっしゃいます」か？,A株式会社の佐藤と申しますが、田中さんは「います」か？
371,います,申し訳ございません、田中はただ今外出して「おります」。,申し訳ございません、田中はただ今外出して「います」。
372,もらう,先日納品頂いた商品の請求書をそろそろ「いただき」たく、連絡させて「いただき」ました。,先日納品頂いた商品の請求書をそろそろ「もらい」たく、連絡させて「もらい」ました。
373,します,田中が帰社次第、折り返し連絡させるように「致します」ね。,田中が帰社次第、折り返し連絡させるように「します」ね。
374,と申します,株式会社Cの田中「と申します」。,株式会社Cの田中「です」。
375,います,佐藤部長は「いらっしゃいます」か？,佐藤部長は「います」か？
376,います,「おります」よ、少々お待ちください。,「います」よ、少々お待ちください。
377,てください,おりますよ、少々「お待ちください」。,おりますよ、少々「待ってください」。
378,います,いつもお世話になって「おります」、田中です。,いつもお世話になって「います」、田中です。
379,います,田中さん、いつもお世話になって「おります」。,田中さん、いつもお世話になって「います」。
380,もらう,いえいえ、受注「いただき」ありがとうございます。,いえいえ、受注「もらい」ありがとうございます。
381,もらう,ではこのまま進めさせて「いただき」ますので、宜しくお願い致します。,ではこのまま進めさせて「もらい」ますので、宜しくお願い致します。
382,します,ではこのまま進めさせていただきますので、宜しくお願い「致します」。,ではこのまま進めさせていただきますので、宜しくお願い「します」。
383,もらう,本日はお越し「いただき」ありがとうございます。,本日はお越し「もらい」ありがとうございます。
384,どう,先日送付させていただきました見積は「いかが」でしたか？,先日送付させていただきました見積は「どう」でしたか？
385,もらう,先日送付させて「いただき」ました見積はいかがでしたか？,先日送付させて「もらい」ました見積はいかがでしたか？
386,と申します,株式会社Cの田中「と申します」。,株式会社Cの田中「です」。
387,います,佐藤部長は「いらっしゃいます」か？,佐藤部長は「います」か？
388,てください,はい、少々「お待ちください」。,はい、少々「待ってください」。
389,てください,承知しました、少々「お待ちください」。,承知しました、少々「待ってください」。
390,と申します,株式会社Cの田中「と申します」。,株式会社Cの田中「です」。
391,います,佐藤部長は「いらっしゃいます」か？,佐藤部長は「います」か？
392,てください,佐藤ですね、少々「お待ちください」。,佐藤ですね、少々「待ってください」。
393,します,失礼「致します」。,失礼「します」。
394,もらう,A社への見積、今データ送りましたので見て「いただけます」か？,A社への見積、今データ送りましたので見て「もらえます」か？
395,てください,今確認するので少々「お待ちください」。,今確認するので少々「待ってください」。
396,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
397,と申します,A社の鈴木「と申します」。,A社の鈴木「です」。
398,います,佐藤さんは「いらっしゃいます」か？,佐藤さんは「います」か？
399,てください,はい、おつなぎしますので少々「お待ちください」。,はい、おつなぎしますので少々「待ってください」。
400,てください,少々「お待ちください」。,少々「待ってください」。
401,います,鈴木です、いつもお世話になって「おります」。,鈴木です、いつもお世話になって「います」。
402,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
403,どう,すみません、先日お願いしていた見積もりですが、「いかが」ですか？,すみません、先日お願いしていた見積もりですが、「どう」ですか？
404,どう,すみません、先週お話しした会食の件、ご都合「いかが」ですか？,すみません、先週お話しした会食の件、ご都合「どう」ですか？
405,と申します,O社の久保「と申します」。,O社の久保「です」。
406,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
407,てください,お使いになるパソコンの台数分のライセンスを「ご購入ください」。,お使いになるパソコンの台数分のライセンスを「購入してください」。
408,もらう,不具合のご報告を「いただいた」営業さんに、送って見てもらった方がいいですよね。,不具合のご報告を「もらった」営業さんに、送って見てもらった方がいいですよね。
409,もらう,はい、少々お待ち「いただけます」か。,はい、少々お待ち「もらえます」か。
410,します,ではよろしくお願い「いたします」。,ではよろしくお願い「します」。
411,と申します,製品A担当の竹内「と申します」。,製品A担当の竹内「です」。
412,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
413,います,お世話になって「おります」。,お世話になって「います」。
414,と申します,M社の吉田「と申します」。,M社の吉田「です」。
415,もらう,じゃあそれ、どっちも「いただけます」か。,じゃあそれ、どっちも「もらえます」か。
416,もらう,メールアドレスを教えて「いただけます」か？,メールアドレスを教えて「もらえます」か？
417,もらう,復唱させて「いただき」ます。,復唱させて「もらい」ます。
418,と申します,M社の吉田「と申します」。,M社の吉田「です」。
419,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
420,います,お世話になって「おります」。,お世話になって「います」。
421,てください,少々「お待ちください」。,少々「待ってください」。
422,と申します,竹内「と申します」。,竹内「です」。
423,します,確認「いたします」ね。,確認「します」ね。
424,てください,少々「お待ちください」。,少々「待ってください」。
425,と申します,竹田「と申します」。,竹田「です」。
426,てください,金額が合っているか、「お確かめください」。,金額が合っているか、「確かめてください」。
427,と申します,お世話になっております。K社の松井「と申します」。,お世話になっております。K社の松井「です」。
428,います,お世話になって「おります」。K社の松井と申します。,お世話になって「います」。K社の松井と申します。
429,います,いつもお世話になって「おります」。,いつもお世話になって「います」。
430,てください,はい、少々「お待ちください」。,はい、少々「待ってください」。
431,います,はい、確かに届いて「おります」。,はい、確かに届いて「います」。
432,もらう,手書きの部分がちょっと見えづらいので、お送り「いただいた」ほうがよろしいかもしれないです。,手書きの部分がちょっと見えづらいので、お送り「もらった」ほうがよろしいかもしれないです。
433,もらう,届いてみて、あまり変わらなければ、お電話「いただけます」か？,届いてみて、あまり変わらなければ、お電話「もらえます」か？
434,します,お手数をおかけ「いたします」が、よろしくお願いします。,お手数をおかけ「します」が、よろしくお願いします。
435,します,ジャケットをお返し「いたします」。,ジャケットをお返し「します」。
436,てください,お帰りの便では、ぜひゆっくり「お過ごしください」。,お帰りの便では、ぜひゆっくり「過ごしてください」。
437,います,またお帰りの便でお待ちして「おります」。,またお帰りの便でお待ちして「います」。
438,てください,どうぞお気を付けて「お出かけください」。,どうぞお気を付けて「出かけてください」。
439,どう,到着前のお食事は「いかが」なさいますか？,到着前のお食事は「どう」なさいますか？
440,どう,それでは、おうどんやフルーツとヨーグルトなどの軽食は「いかが」ですか？,それでは、おうどんやフルーツとヨーグルトなどの軽食は「どう」ですか？
441,います,化粧室が混雑して「おります」ので、お飲み物だけ先にお持ちしておきます。,化粧室が混雑して「います」ので、お飲み物だけ先にお持ちしておきます。
442,します,空き次第すぐにご案内「いたします」。,空き次第すぐにご案内「します」。
443,どう,アイマスクや耳栓をお使いになってみては「いかが」ですか？,アイマスクや耳栓をお使いになってみては「どう」ですか？
444,てください,はい、岸本さんも、日本へ帰国の際は「ご連絡ください」。,はい、岸本さんも、日本へ帰国の際は「連絡してください」。
445,もらう,同じ講師仲間から言って「いただいた」ほうが良いかと。,同じ講師仲間から言って「もらった」ほうが良いかと。
446,します,はい、失礼「いたします」。,はい、失礼「します」。
447,てください,はい、お手元資料の10ページを「ご覧ください」。,はい、お手元資料の10ページを「見てください」。
448,もらう,それも原因の一つではあるんですが、去年夏の電気使用量を見て「いただけます」か？,それも原因の一つではあるんですが、去年夏の電気使用量を見て「もらえます」か？
449,もらう,あまりにも急激に増えているので、先日、空調メンテナンスの方に来て「いただき」ました。,あまりにも急激に増えているので、先日、空調メンテナンスの方に来て「もらい」ました。
450,もらう,じゃ、あとバイトさんのことですが、シフト表を作ったので見て「いただけます」か？,じゃ、あとバイトさんのことですが、シフト表を作ったので見て「もらえます」か？
451,います,はい、それは十分に覚悟して「おります」。,はい、それは十分に覚悟して「います」。
452,と申します,私A社の谷本「と申します」が、経理の竹田さんはいらっしゃいますか？,私A社の谷本「です」が、経理の竹田さんはいらっしゃいますか？
453,います,私A社の谷本と申しますが、経理の竹田さんは「いらっしゃいます」か？,私A社の谷本と申しますが、経理の竹田さんは「います」か？
454,てください,はい、少々「お待ちください」。,はい、少々「待ってください」。
455,います,あ、ご無沙汰して「おります」。,あ、ご無沙汰して「います」。
456,てください,手元の資料を「ご覧ください」。,手元の資料を「見てください」。
457,もらう,じゃ、そうさせて「いただき」ます。,じゃ、そうさせて「もらい」ます。
458,もらう,研究者たちの性格や働き方も実際に見て「いただき」たかったんですよね。,研究者たちの性格や働き方も実際に見て「もらい」たかったんですよね。
459,もらう,エンジニアの皆さんにもぜひ研究室を見て「いただき」たいです。,エンジニアの皆さんにもぜひ研究室を見て「もらい」たいです。
460,てください,お手元の会議目録を「ご覧ください」。,お手元の会議目録を「見てください」。
461,てください,その他、設備についての細かいスペックは添付資料を「ご覧ください」。,その他、設備についての細かいスペックは添付資料を「見てください」。
462,と申します,B社の竹内「と申します」。,B社の竹内「です」。
463,もらう,リネン類の集荷をご希望の際はコンピューター上でお申込み「いただけます」。,リネン類の集荷をご希望の際はコンピューター上でお申込み「もらえます」。
464,もらう,洗濯物を紛失することがないよう、弊社のハイテク処理システムで全行程を通して状況を追跡して「いただけます」。,洗濯物を紛失することがないよう、弊社のハイテク処理システムで全行程を通して状況を追跡して「もらえます」。
465,もらう,予約を取りつけて「いただき」、ありがとうございます！,予約を取りつけて「もらい」、ありがとうございます！
466,もらう,各階責任者の皆さん、研修にお越し「いただき」ありがとうございます。,各階責任者の皆さん、研修にお越し「もらい」ありがとうございます。
467,もらう,皆さんにはそれぞれの階の安全管理責任がありますので、緊急時の手順を知って「いただき」たいと思います。,皆さんにはそれぞれの階の安全管理責任がありますので、緊急時の手順を知って「もらい」たいと思います。
468,もらう,まず、責任者の皆さんには自分の階の従業員ひとりひとりに赤い防災リュックを配って「いただき」ます。,まず、責任者の皆さんには自分の階の従業員ひとりひとりに赤い防災リュックを配って「もらい」ます。
469,てください,まだ受け取っていなければ「お知らせください」。,まだ受け取っていなければお知らせください。
470,もらう,より安全な職場作りにご協力「いただき」、誠にありがとうございます！,より安全な職場作りにご協力「もらい」、誠にありがとうございます！
471,てください,各階のトレーニングを終えたら今週末までに必ず「ご報告ください」。,各階のトレーニングを終えたら今週末までに必ず「報告してください」。
472,てください,さらに変更の必要があれば私の連絡先まで「お知らせください」。,さらに変更の必要があれば私の連絡先までお知らせください。
473,てください,追加トレーニングについての情報をお送りしますので「ご検討ください」。,追加トレーニングについての情報をお送りしますので「検討してください」。
474,てください,なにかありましたら「ご連絡ください」。,なにかありましたら「連絡してください」。
475,てください,「お任せください」。,「任せてください」。
476,もらう,本当に、うちを選んで「いただき」光栄です。,本当に、うちを選んで「もらい」光栄です。
477,てください,三つとも他とはかなり違ったデザインになっていますので、見た目だけではなく、そちらのニーズに合ったものを「お選びください」ね。,三つとも他とはかなり違ったデザインになっていますので、見た目だけではなく、そちらのニーズに合ったものを「選んでください」ね。
478,てください,じっくり皆さんで「ご検討ください」。,じっくり皆さんで「検討してください」。
479,てください,では、経理部に回しますのでしばらく「お待ちください」。,では、経理部に回しますのでしばらく「待ってください」。
480,と申します,もしもし、B社経理の岡本「と申します」。,もしもし、B社経理の岡本「です」。
481,います,いつも商品を買わせていただいており、お世話になって「おります」。,いつも商品を買わせていただいており、お世話になって「います」。
482,てください,ちょっと調べてみますので「お待ちください」。,ちょっと調べてみますので「待ってください」。
483,します,よろしくお願い「いたします」。,よろしくお願い「します」。
484,もらう,ええ、お手数ですが、コピーを送って「いただけます」か？,ええ、お手数ですが、コピーを送って「もらえます」か？
485,もらう,では、電話を切ったらすぐに送らせて「いただき」ます。,では、電話を切ったらすぐに送らせて「もらい」ます。
486,てください,「お任せください」。,「任せてください」。
487,います,もしもし、山口武夫さまは「いらっしゃいます」か？,もしもし、山口武夫さまは「います」か？
488,と申します,私、P社大阪支社人事部の竹田「と申します」。,私、P社大阪支社人事部の竹田「です」。
489,もらう,実は、先日「いただいた」履歴書についてお話したいのですが。,実は、先日「もらった」履歴書についてお話したいのですが。
490,います,はい、この求人の直属上司となる者が見たところ、山口様の経験と実績の内容が希望通りなので一度会って話したいと申して「おります」。,はい、この求人の直属上司となる者が見たところ、山口様の経験と実績の内容が希望通りなので一度会って話したいと申して「います」。
491,もらう,そこで、弊社に面接に来て「いただき」たいのですが、今週お時間ありますか？,そこで、弊社に面接に来て「もらい」たいのですが、今週お時間ありますか？
492,どう,では、金曜の午前中は「いかが」でしょうか？,では、金曜の午前中は「どう」でしょうか？
493,もらう,では、10時にお伺いさせて「いただき」ます。,では、10時にお伺いさせて「もらい」ます。
